날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2020-04-15 14:00:00,19.2,2.9,63,34,15.1,1014.2
2020-04-14 14:00:00,22.2,-4.8,66,16,9.7,1015.9
2020-04-13 14:00:00,11.8,-2.4,55,37,16.9,1011.7
2020-04-12 14:00:00,9.4,5.7,50,78,5.4,1011.9
2020-04-11 14:00:00,14.0,3.7,57,50,6.5,1019.5
2020-04-10 14:00:00,11.6,1.7,54,51,6.5,1026.6
2020-04-09 14:00:00,17.1,-6.0,61,20,13.3,1020.5
2020-04-08 14:00:00,18.7,-6.8,62,17,13.0,1016.2
2020-04-07 14:00:00,21.0,0.1,65,25,11.2,1014.4
2020-04-06 14:00:00,16.5,3.1,60,41,22.0,1020.2
2020-04-05 14:00:00,14.3,-3.9,58,28,16.6,1021.8
2020-04-04 14:00:00,21.5,-3.1,65,19,19.4,1015.5
2020-04-03 14:00:00,20.0,-5.8,63,17,9.0,1019.3
2020-04-02 14:00:00,15.9,0.4,60,35,17.6,1022.9
2020-04-01 14:00:00,18.5,4.6,63,40,4.7,1012.1
2020-03-31 14:00:00,19.2,5.9,19.2,42,9.7,1016.3
2020-03-30 14:00:00,16.7,5.9,16.5,49,11.2,1020.5
2020-03-29 14:00:00,12.7,1.9,11.9,48,9.7,1021.4
2020-03-28 14:00:00,11.3,3.0,11.3,57,3.2,1019.2
2020-03-27 14:00:00,17.6,15.9,17.6,90,6.8,1010.8
2020-03-26 14:00:00,13.5,11.7,13.5,89,2.9,1018.6
2020-03-25 14:00:00,18.7,5.8,18.7,43,12.6,1022.3
2020-03-24 14:00:00,15.2,3.0,14.2,44,16.9,1021.7
2020-03-23 14:00:00,19.2,-4.3,19.2,20,7.9,1015.9
2020-03-22 14:00:00,19.2,8.8,19.2,51,14.4,1012.2
2020-03-21 14:00:00,20.4,7.3,20.4,43,12.2,1013.6
2020-03-20 14:00:00,16.6,-3.5,16.5,25,10.4,1014.9
2020-03-19 14:00:00,18.6,7.6,17.8,49,29.2,1002.7
2020-03-18 14:00:00,17.8,-0.9,17.7,28,12.2,1015.2
2020-03-17 14:00:00,15.1,2.9,14.3,44,14.0,1015.0
2020-03-16 14:00:00,10.9,-11.2,9.4,20,12.2,1022.4
2020-03-15 14:00:00,11.7,-6.7,9.8,27,16.6,1009.1
2020-03-14 14:00:00,10.5,-12.8,8.4,18,16.6,1014.1
2020-03-13 14:00:00,15.8,1.8,15.2,39,13.3,1018.9
2020-03-12 14:00:00,15.2,-5.8,14.9,23,9.4,1022.1
2020-03-11 14:00:00,11.6,-9.4,9.6,22,18.0,1016.2
2020-03-10 14:00:00,10.3,9.0,10.3,92,2.9,1003.4
2020-03-09 14:00:00,14.1,7.3,13.5,64,10.1,1014.6
2020-03-08 14:00:00,16.5,3.8,16.2,43,12.2,1018.4
2020-03-07 14:00:00,11.1,4.0,11.1,62,4.3,1018.0
2020-03-06 14:00:00,13.3,-1.1,12.7,37,9.4,1021.9
2020-03-05 14:00:00,9.1,-9.9,6.4,25,18.4,1023.8
2020-03-04 14:00:00,11.7,-9.9,9.7,21,17.6,1018.6
2020-03-03 14:00:00,12.1,2.2,10.9,51,11.9,1025.1
2020-03-02 14:00:00,12.6,-9.8,11.2,20,14.4,1021.3
2020-03-01 14:00:00,14.7,5.2,14.1,53,11.2,1017.8
2020-02-29 14:00:00,10.0,4.5,8.4,69,11.5,1017.6
2020-02-28 14:00:00,8.2,1.3,8.2,62,2.5,1025.1
2020-02-27 14:00:00,7.8,-0.9,6.2,54,9.0,1029.6
2020-02-26 14:00:00,12.4,6.6,11.8,68,8.3,1022.1
2020-02-25 14:00:00,9.4,9.2,9.4,99,1.8,1014.4
2020-02-24 14:00:00,16.2,-9.6,16.2,16,6.8,1024.3
2020-02-23 14:00:00,9.7,-9.4,8.3,25,10.1,1029.0
2020-02-22 14:00:00,12.4,-9.3,9.4,21,35.3,1023.5
2020-02-21 14:00:00,15.0,3.7,14.0,47,15.8,1031.4
2020-02-20 14:00:00,14.1,-6.2,13.3,24,11.9,1032.6
2020-02-19 14:00:00,11.0,-6.3,9.6,29,11.5,1028.6
2020-02-18 14:00:00,5.2,-12.7,2.0,26,14.8,1025.6
2020-02-17 14:00:00,1.8,-12.0,-3.5,35,24.1,1014.7
2020-02-16 14:00:00,7.6,-3.8,3.8,44,25.9,1010.1
2020-02-15 14:00:00,17.7,5.6,17.6,45,13.0,1019.3
2020-02-14 14:00:00,18.0,1.4,18.0,33,10.4,1019.1
2020-02-13 14:00:00,16.7,7.0,16.7,53,7.2,1018.3
2020-02-12 14:00:00,11.8,11.6,11.8,99,1.8,1014.9
2020-02-11 14:00:00,13.0,-4.2,12.7,30,7.2,1027.7
2020-02-10 14:00:00,12.2,-3.2,11.4,34,9.0,1023.0
2020-02-09 14:00:00,8.7,-7.1,6.9,32,10.8,1023.4
2020-02-08 14:00:00,8.6,-6.4,6.0,34,16.6,1023.0
2020-02-07 14:00:00,8.2,-12.3,6.0,22,12.6,1025.5
2020-02-06 14:00:00,5.7,-13.8,4.0,23,7.9,1031.6
2020-02-05 14:00:00,3.7,-19.1,-0.5,17,19.1,1026.9
2020-02-04 14:00:00,8.7,-11.3,7.0,23,10.4,1024.2
2020-02-03 14:00:00,8.9,-4.3,6.8,39,13.0,1024.3
2020-02-02 14:00:00,11.4,-3.9,10.4,34,9.4,1023.5
2020-02-01 14:00:00,9.6,-4.7,7.5,36,14.8,1023.1
2020-01-31 14:00:00,10.6,-4.2,8.9,35,13.0,1018.4
2020-01-30 14:00:00,10.4,-3.6,10.4,37,4.0,1012.7
2020-01-29 14:00:00,11.0,1.2,11.0,51,4.7,1013.9
2020-01-28 14:00:00,10.7,4.8,8.9,67,13.7,1015.2
2020-01-27 14:00:00,5.7,4.0,4.0,89,7.9,1013.5
2020-01-26 14:00:00,11.8,4.0,11.8,59,4.7,1025.6
2020-01-25 14:00:00,11.1,3.3,11.1,59,3.6,1028.6
2020-01-24 14:00:00,14.2,4.7,14.0,53,7.9,1027.4
2020-01-23 14:00:00,7.9,6.8,5.9,93,11.2,1021.5
2020-01-22 14:00:00,6.0,2.2,5.1,77,5.4,1024.4
2020-01-21 14:00:00,9.6,-5.9,8.7,33,7.2,1028.9
2020-01-20 14:00:00,9.2,-4.4,7.0,38,14.4,1020.2
2020-01-19 14:00:00,8.7,-3.5,6.7,42,12.2,1017.7
2020-01-18 14:00:00,7.9,-1.6,5.8,51,11.9,1018.4
2020-01-17 14:00:00,9.8,-4.9,8.0,35,12.2,1019.7
2020-01-16 14:00:00,6.3,-10.0,3.2,30,16.2,1024.1
2020-01-15 14:00:00,6.4,-7.6,4.0,36,11.5,1025.5
2020-01-14 14:00:00,4.7,-8.7,1.5,37,14.0,1022.7
2020-01-13 14:00:00,7.1,-5.2,4.9,41,11.2,1020.6
2020-01-12 14:00:00,8.0,-6.5,5.0,35,19.1,1014.3
2020-01-11 14:00:00,9.3,-3.9,7.0,39,15.1,1017.0
2020-01-10 14:00:00,9.7,-5.0,8.7,35,7.9,1020.4
2020-01-09 14:00:00,8.8,-4.7,6.5,38,14.8,1020.4
2020-01-08 14:00:00,10.1,1.9,8.0,57,15.5,1014.4
2020-01-07 14:00:00,13.0,12.8,12.5,99,7.9,1013.4
2020-01-06 14:00:00,4.0,2.8,2.1,92,7.6,1027.1
2020-01-05 14:00:00,11.2,-2.6,10.5,38,7.6,1029.3
2020-01-04 14:00:00,8.8,-4.0,6.5,40,14.8,1022.7
2020-01-03 14:00:00,9.8,-4.2,7.7,37,14.4,1024.2
2020-01-02 14:00:00,8.1,-3.1,6.0,45,11.9,1026.9
2020-01-01 14:00:00,6.6,-5.7,3.8,41,14.4,1029.8
